200 200
0 0 22
0 1 22
0 2 22
0 3 22
0 4 22
0 5 22
0 6 22
0 7 22
0 8 22
0 9 22
0 10 22
0 11 22
0 12 22
0 13 22
0 14 22
0 15 22
0 16 22
0 17 22
0 18 22
0 19 18
0 20 18
0 21 18
0 22 18
0 23 18
0 24 18
0 25 18
0 26 18
0 27 18
0 28 18
0 29 18
0 30 18
0 31 18
0 32 18
0 33 18
0 34 18
0 35 18
0 36 51
0 37 51
0 38 51
0 39 51
0 40 51
0 41 51
0 42 51
0 43 51
0 44 51
0 45 38
0 46 38
0 47 38
0 48 38
0 49 38
0 50 38
0 51 38
0 52 38
0 53 38
0 54 38
0 55 38
0 56 38
0 57 38
0 58 25
0 59 25
0 60 25
0 61 25
0 62 25
0 63 25
0 64 25
0 65 25
0 66 25
0 67 25
0 68 25
0 69 25
0 70 25
0 71 25
0 72 25
0 73 25
0 74 25
0 75 25
0 76 25
0 77 25
0 78 25
0 79 25
0 80 25
0 81 25
0 82 25
0 83 25
0 84 25
0 85 25
0 86 25
0 87 25
0 88 25
0 89 25
0 90 25
0 91 90
0 92 90
0 93 90
0 94 27
0 95 27
0 96 27
0 97 27
0 98 27
0 99 27
0 100 27
0 101 27
0 102 27
0 103 27
0 104 27
0 105 27
0 106 27
0 107 27
0 108 27
0 109 27
0 110 27
0 111 27
0 112 27
0 113 27
0 114 27
0 115 27
0 116 27
0 117 27
0 118 27
0 119 27
0 120 27
0 121 27
0 122 27
0 123 27
0 124 27
0 125 27
0 126 27
0 127 27
0 128 27
0 129 27
0 130 27
0 131 27
0 132 27
0 133 42
0 134 42
0 135 42
0 136 42
0 137 42
0 138 42
0 139 42
0 140 42
0 141 42
0 142 42
0 143 42
0 144 42
0 145 42
0 146 42
0 147 42
0 148 42
0 149 42
0 150 42
0 151 42
0 152 42
0 153 42
0 154 42
0 155 42
0 156 42
0 157 42
0 158 42
0 159 42
0 160 42
0 161 42
0 162 82
0 163 82
0 164 82
0 165 82
0 166 82
0 167 82
0 168 82
0 169 82
0 170 82
0 171 82
0 172 82
0 173 82
0 174 82
0 175 82
0 176 82
0 177 82
0 178 82
0 179 82
0 180 82
0 181 82
0 182 82
0 183 82
0 184 82
0 185 82
0 186 82
0 187 82
0 188 82
0 189 82
0 190 82
0 191 82
0 192 82
0 193 82
0 194 82
0 195 82
0 196 82
0 197 82
0 198 82
0 199 82
1 0 22
1 1 22
1 2 22
1 3 22
1 4 22
1 5 22
1 6 22
1 7 22
1 8 22
1 9 22
1 10 22
1 11 22
1 12 22
1 13 22
1 14 22
1 15 22
1 16 22
1 17 22
1 18 22
1 19 18
1 20 18
1 21 18
1 22 18
1 23 18
1 24 18
1 25 18
1 26 18
1 27 18
1 28 18
1 29 18
1 30 18
1 31 18
1 32 18
1 33 18
1 34 18
1 35 18
1 36 18
1 37 51
1 38 51
1 39 51
1 40 51
1 41 51
1 42 51
1 43 51
1 44 38
1 45 38
1 46 38
1 47 38
1 48 38
1 49 38
1 50 38
1 51 38
1 52 38
1 53 38
1 54 38
1 55 38
1 56 38
1 57 25
1 58 25
1 59 25
1 60 25
1 61 25
1 62 25
1 63 25
1 64 25
1 65 25
1 66 25
1 67 25
1 68 25
1 69 25
1 70 25
1 71 25
1 72 25
1 73 25
1 74 25
1 75 25
1 76 25
1 77 25
1 78 25
1 79 25
1 80 25
1 81 25
1 82 25
1 83 25
1 84 25
1 85 25
1 86 25
1 87 25
1 88 25
1 89 25
1 90 90
1 91 90
1 92 90
1 93 90
1 94 90
1 95 90
1 96 27
1 97 27
1 98 27
1 99 27
1 100 27
1 101 27
1 102 27
1 103 27
1 104 27
1 105 27
1 106 27
1 107 27
1 108 27
1 109 27
1 110 27
1 111 27
1 112 27
1 113 27
1 114 27
1 115 27
1 116 27
1 117 27
1 118 27
1 119 27
1 120 27
1 121 27
1 122 27
1 123 27
1 124 27
1 125 27
1 126 27
1 127 27
1 128 27
1 129 27
1 130 27
1 131 27
1 132 27
1 133 42
1 134 42
1 135 42
1 136 42
1 137 42
1 138 42
1 139 42
1 140 42
1 141 42
1 142 42
1 143 42
1 144 42
1 145 42
1 146 42
1 147 42
1 148 42
1 149 42
1 150 42
1 151 42
1 152 42
1 153 42
1 154 42
1 155 42
1 156 42
1 157 42
1 158 42
1 159 42
1 160 42
1 161 42
1 162 82
1 163 82
1 164 82
1 165 82
1 166 82
1 167 82
1 168 82
1 169 82
1 170 82
1 171 82
1 172 82
1 173 82
1 174 82
1 175 82
1 176 82
1 177 82
1 178 82
1 179 82
1 180 82
1 181 82
1 182 82
1 183 82
1 184 82
1 185 82
1 186 82
1 187 82
1 188 82
1 189 82
1 190 82
1 191 82
1 192 82
1 193 82
1 194 82
1 195 82
1 196 82
1 197 82
1 198 82
1 199 82
2 0 22
2 1 22
2 2 22
2 3 22
2 4 22
2 5 22
2 6 22
2 7 22
2 8 22
2 9 22
2 10 22
2 11 22
2 12 22
2 13 22
2 14 22
2 15 22
2 16 22
2 17 22
2 18 22
2 19 22
2 20 18
2 21 18
2 22 18
2 23 18
2 24 18
2 25 18
2 26 18
2 27 18
2 28 18
2 29 18
2 30 18
2 31 18
2 32 18
2 33 18
2 34 18
2 35 18
2 36 51
2 37 51
2 38 51
2 39 51
2 40 51
2 41 51
2 42 51
2 43 51
2 44 38
2 45 38
2 46 38
2 47 38
2 48 38
2 49 38
2 50 38
2 51 38
2 52 38
2 53 38
2 54 38
2 55 38
2 56 25
2 57 25
2 58 25
2 59 25
2 60 25
2 61 25
2 62 25
2 63 25
2 64 25
2 65 25
2 66 25
2 67 25
2 68 25
2 69 25
2 70 25
2 71 25
2 72 25
2 73 25
2 74 25
2 75 25
2 76 25
2 77 25
2 78 25
2 79 25
2 80 25
2 81 25
2 82 25
2 83 25
2 84 25
2 85 25
2 86 25
2 87 25
2 88 25
2 89 25
2 90 90
2 91 90
2 92 90
2 93 90
2 94 90
2 95 90
2 96 90
2 97 27
2 98 27
2 99 27
2 100 27
2 101 27
2 102 27
2 103 27
2 104 27
2 105 27
2 106 27
2 107 27
2 108 27
2 109 27
2 110 27
2 111 27
2 112 27
2 113 27
2 114 27
2 115 27
2 116 27
2 117 27
2 118 27
2 119 27
2 120 27
2 121 27
2 122 27
2 123 27
2 124 27
2 125 27
2 126 27
2 127 27
2 128 27
2 129 27
2 130 27
2 131 27
2 132 27
2 133 42
2 134 42
2 135 42
2 136 42
2 137 42
2 138 42
2 139 42
2 140 42
2 141 42
2 142 42
2 143 42
2 144 42
2 145 42
2 146 42
2 147 42
2 148 42
2 149 42
2 150 42
2 151 42
2 152 42
2 153 42
2 154 42
2 155 42
2 156 42
2 157 42
2 158 42
2 159 42
2 160 42
2 161 42
2 162 82
2 163 82
2 164 82
2 165 82
2 166 82
2 167 82
2 168 82
2 169 82
2 170 82
2 171 82
2 172 82
2 173 82
2 174 82
2 175 82
2 176 82
2 177 82
2 178 82
2 179 82
2 180 82
2 181 82
2 182 82
2 183 82
2 184 82
2 185 82
2 186 82
2 187 82
2 188 82
2 189 82
2 190 82
2 191 82
2 192 82
2 193 82
2 194 82
2 195 82
2 196 82
2 197 82
