100 100
0 0 7
0 1 7
0 2 7
0 3 3
0 4 3
0 5 3
0 6 3
0 7 3
0 8 3
0 9 3
0 10 3
0 11 3
0 12 3
0 13 3
0 14 3
0 15 3
0 16 3
0 17 3
0 18 3
0 19 3
0 20 3
0 21 3
0 22 3
0 23 3
0 24 3
0 25 3
0 26 3
0 27 3
0 28 8
0 29 8
0 30 8
0 31 8
0 32 8
0 33 8
0 34 8
0 35 8
0 36 8
0 37 8
0 38 8
0 39 8
0 40 8
0 41 8
0 42 8
0 43 8
0 44 8
0 45 8
0 46 8
0 47 8
0 48 8
0 49 8
0 50 8
0 51 8
0 52 8
0 53 8
0 54 8
0 55 8
0 56 8
0 57 8
0 58 8
0 59 8
0 60 8
0 61 8
0 62 8
0 63 8
0 64 8
0 65 8
0 66 8
0 67 8
0 68 8
0 69 8
0 70 8
0 71 8
0 72 8
0 73 8
0 74 8
0 75 8
0 76 8
0 77 8
0 78 8
0 79 8
0 80 8
0 81 8
0 82 8
0 83 8
0 84 8
0 85 8
0 86 8
0 87 8
0 88 8
0 89 8
0 90 8
0 91 8
0 92 8
0 93 8
0 94 8
0 95 8
0 96 8
0 97 8
0 98 8
0 99 8
1 0 7
1 1 7
1 2 7
1 3 7
1 4 3
1 5 3
1 6 3
1 7 3
1 8 3
1 9 3
1 10 3
1 11 3
1 12 3
1 13 3
1 14 3
1 15 3
1 16 3
1 17 3
1 18 3
1 19 3
1 20 3
1 21 3
1 22 3
1 23 3
1 24 3
1 25 3
1 26 3
1 27 3
1 28 3
1 29 8
1 30 8
1 31 8
1 32 8
1 33 8
1 34 8
1 35 8
1 36 8
1 37 8
1 38 8
1 39 8
1 40 8
1 41 8
1 42 8
1 43 8
1 44 8
1 45 8
1 46 8
1 47 8
1 48 8
1 49 8
1 50 8
1 51 8
1 52 8
1 53 8
1 54 8
1 55 8
1 56 8
1 57 8
1 58 8
1 59 8
1 60 8
1 61 8
1 62 8
1 63 8
1 64 8
1 65 8
1 66 8
1 67 8
1 68 8
1 69 8
1 70 8
1 71 8
1 72 8
1 73 8
1 74 8
1 75 8
1 76 8
1 77 8
1 78 8
1 79 8
1 80 8
1 81 8
1 82 8
1 83 8
1 84 8
1 85 8
1 86 8
1 87 8
1 88 8
1 89 8
1 90 8
1 91 8
1 92 8
1 93 8
1 94 8
1 95 8
1 96 8
1 97 8
1 98 8
1 99 8
2 0 7
2 1 7
2 2 7
2 3 7
2 4 7
2 5 3
2 6 3
2 7 3
2 8 3
2 9 3
2 10 3
2 11 3
2 12 3
2 13 3
2 14 3
2 15 3
2 16 3
2 17 3
2 18 3
2 19 3
2 20 3
2 21 3
2 22 3
2 23 3
2 24 3
2 25 3
2 26 3
2 27 3
2 28 3
2 29 3
2 30 8
2 31 8
2 32 8
2 33 8
2 34 8
2 35 8
2 36 8
2 37 8
2 38 8
2 39 8
2 40 8
2 41 8
2 42 8
2 43 8
2 44 8
2 45 8
2 46 8
2 47 8
2 48 8
2 49 8
2 50 8
2 51 8
2 52 8
2 53 8
2 54 8
2 55 8
2 56 8
2 57 8
2 58 8
2 59 8
2 60 8
2 61 8
2 62 8
2 63 8
2 64 8
2 65 8
2 66 8
2 67 8
2 68 8
2 69 8
2 70 8
2 71 8
2 72 8
2 73 8
2 74 8
2 75 8
2 76 8
2 77 8
2 78 8
2 79 8
2 80 8
2 81 8
2 82 8
2 83 8
2 84 8
2 85 8
2 86 8
2 87 8
